ds,temp,wind_speed,humidity,pressure
2021-01-06,-12.80,15.30,68.96,931.96
2021-01-07,-12.80,13.70,73.67,934.71
2021-01-08,-11.70,8.80,77.25,938.30
2021-01-09,-10.50,7.90,62.08,939.94
2021-01-10,-8.10,18.80,52.42,933.42
2021-01-11,-1.90,12.10,37.79,924.29
2021-01-12,0.30,12.10,44.83,921.56
2021-01-13,-4.10,12.00,88.29,930.08
2021-01-14,-9.60,14.30,82.96,932.94
2021-01-15,-9.40,20.20,73.04,929.23
2021-01-16,-1.40,22.60,41.83,920.22
2021-01-17,0.80,13.00,35.92,919.82
2021-01-18,-2.00,18.00,51.54,914.38
2021-01-19,2.90,9.40,48.62,917.72
2021-01-20,1.90,10.80,64.25,924.35
2021-01-21,2.60,10.50,53.92,915.42
2021-01-22,-2.60,15.40,61.58,920.92
2021-01-23,-10.60,10.40,75.17,935.16
2021-01-24,-4.90,8.40,74.33,937.62
2021-01-25,-8.90,16.10,86.88,933.25
2021-01-26,-7.90,13.80,75.12,933.38
2021-01-27,-8.20,17.00,69.58,931.91
2021-01-28,-8.30,16.30,63.25,932.53
2021-01-29,-7.10,13.70,61.92,930.76
2021-01-30,-3.00,15.60,42.08,923.56
2021-01-31,1.40,10.70,28.17,917.92
2021-02-01,4.00,8.90,33.46,923.62
2021-02-02,4.50,6.40,64.54,932.05
2021-02-03,3.40,6.80,39.54,932.44
2021-02-04,4.10,7.10,37.79,928.36
2021-02-05,5.00,9.30,28.33,924.95
2021-02-06,5.90,8.00,17.17,920.95
2021-02-07,2.80,9.70,56.33,924.59
2021-02-08,4.60,10.80,60.29,918.81
2021-02-09,-1.30,13.80,94.04,925.48
2021-02-10,-2.20,13.80,80.08,927.97
2021-02-11,1.10,6.50,90.04,926.66
2021-02-12,2.20,8.60,79.62,926.47
2021-02-13,0.10,14.20,86.21,926.10
2021-02-14,1.70,8.40,65.12,928.35
2021-02-15,4.00,9.10,34.42,927.07
2021-02-16,6.30,8.60,13.83,925.60
2021-02-17,6.60,9.50,16.88,923.55
2021-02-18,7.90,14.50,16.04,919.71
2021-02-19,9.80,13.60,21.21,916.97
2021-02-20,2.00,8.80,90.21,929.94
2021-02-21,-0.40,11.40,90.58,929.58
2021-02-22,2.10,9.50,65.25,929.33
2021-02-23,0.70,10.40,75.21,920.97
2021-02-24,-0.60,15.80,78.50,918.80
2021-02-25,-10.10,24.40,65.33,931.10
2021-02-26,-13.30,11.40,61.88,933.77
2021-02-27,-9.70,10.10,54.71,928.97
2021-02-28,-4.00,8.30,46.83,927.90
2021-03-01,2.20,8.90,30.58,923.65
2021-03-02,5.30,11.40,38.67,922.55
2021-03-03,-0.10,8.90,90.17,927.32
2021-03-04,2.50,13.20,70.12,923.16
2021-03-05,0.40,13.20,82.50,930.90
2021-03-06,3.10,11.40,62.50,921.25
2021-03-07,4.50,9.70,56.62,920.81
2021-03-08,4.80,7.30,62.83,924.75
2021-03-09,6.50,8.60,64.92,923.56
2021-03-10,8.70,7.90,52.67,917.82
2021-03-11,2.20,11.30,74.33,925.52
2021-03-12,5.30,16.30,62.38,917.18
2021-03-13,0.80,27.70,75.62,918.54
2021-03-14,-3.00,30.00,74.54,922.72
2021-03-15,-4.90,17.30,66.00,931.40
2021-03-16,-4.40,17.00,57.12,930.66
2021-03-17,-4.40,8.30,61.00,933.42
2021-03-18,-1.40,13.60,49.71,934.71
2021-03-19,4.80,14.30,34.79,921.86
2021-03-20,7.10,14.30,37.75,916.08
2021-03-21,2.60,10.20,91.04,921.03
2021-03-22,7.30,18.20,70.54,921.32
2021-03-23,10.00,15.60,64.12,917.40
2021-03-24,6.00,12.60,68.46,926.31
2021-03-25,12.40,13.00,39.88,917.45
2021-03-26,11.90,11.30,71.12,918.25
2021-03-27,13.50,13.50,53.88,918.94
2021-03-28,8.40,15.40,81.62,916.34
2021-03-29,3.40,11.70,93.00,925.31
2021-03-30,1.80,7.30,89.71,931.48
2021-03-31,3.20,9.20,69.62,930.20
2021-04-01,0.20,13.70,90.75,930.48
2021-04-02,-1.00,9.40,67.33,934.18
2021-04-03,2.30,11.00,46.33,926.44
2021-04-04,7.70,14.80,43.62,915.81
2021-04-05,7.50,13.40,70.71,927.42
2021-04-06,7.60,11.70,68.04,928.77
2021-04-07,8.70,8.90,71.04,928.13
2021-04-08,11.30,8.70,51.96,927.81
2021-04-09,12.40,8.40,40.29,926.17
2021-04-10,14.30,8.80,33.96,924.79
2021-04-11,14.30,11.30,36.38,923.15
2021-04-12,15.10,9.00,41.88,924.70
2021-04-13,14.90,7.90,41.75,926.84
2021-04-14,10.70,9.80,55.50,925.90
2021-04-15,13.80,8.30,51.21,921.65
2021-04-16,15.70,12.70,48.29,922.13
2021-04-17,14.70,20.70,48.46,924.80
2021-04-18,13.90,12.20,47.33,924.65
2021-04-19,15.10,10.90,45.04,923.79
2021-04-20,13.40,8.10,46.92,918.08
2021-04-21,3.00,14.20,84.33,922.27
2021-04-22,2.00,9.70,74.67,935.08
2021-04-23,3.70,12.60,50.83,936.70
2021-04-24,4.00,12.60,41.42,931.22
2021-04-25,12.30,8.80,36.33,927.98
2021-04-26,16.50,14.30,44.12,929.23
2021-04-27,17.80,14.30,37.54,925.60
2021-04-28,20.00,9.70,32.67,922.82
2021-04-29,21.60,11.00,32.58,920.14
2021-04-30,23.30,19.40,31.75,918.50
2021-05-01,11.40,12.30,88.04,929.64
2021-05-02,12.60,10.60,69.71,926.20
2021-05-03,17.30,14.30,58.33,923.81
2021-05-04,17.80,10.50,48.79,920.51
2021-05-05,20.30,8.90,46.67,914.26
2021-05-06,22.20,12.80,51.38,919.23
2021-05-07,18.30,11.00,67.46,924.41
2021-05-08,19.50,7.00,62.42,924.54
2021-05-09,20.20,14.30,53.79,921.48
2021-05-10,17.40,6.80,73.00,921.63
2021-05-11,17.10,17.20,63.75,921.98
2021-05-12,13.40,13.70,59.96,924.98
2021-05-13,14.40,8.90,42.79,926.28
2021-05-14,12.10,16.20,56.21,925.53
2021-05-15,11.70,9.00,63.67,926.88
2021-05-16,13.80,8.70,49.88,926.92
2021-05-17,16.50,8.90,37.88,925.34
2021-05-18,18.30,8.10,35.25,920.58
2021-05-19,20.80,15.30,33.33,916.41
2021-05-20,17.60,20.40,58.79,920.54
2021-05-21,15.40,5.80,55.54,927.18
2021-05-22,17.50,7.40,39.08,927.10
2021-05-23,20.70,7.80,39.42,921.65
2021-05-24,22.30,10.10,37.42,920.55
2021-05-25,22.90,10.90,34.75,920.65
2021-05-26,23.90,10.10,31.04,917.66
2021-05-27,23.40,13.70,35.67,919.12
2021-05-28,23.90,11.20,35.00,921.60
2021-05-29,22.70,9.40,41.42,921.84
2021-05-30,23.80,10.80,32.08,921.33
2021-05-31,24.70,9.20,29.83,920.19
2021-06-01,25.40,11.90,24.08,918.05
2021-06-02,26.40,17.90,26.58,917.96
2021-06-03,26.20,14.70,29.21,919.38
2021-06-04,26.00,30.70,27.46,921.21
2021-06-05,25.10,17.70,36.33,921.17
2021-06-06,20.90,10.20,38.62,920.18
2021-06-07,25.60,15.90,31.88,915.88
2021-06-08,26.60,22.00,26.88,916.86
2021-06-09,25.60,16.70,27.04,918.78
2021-06-10,23.50,16.90,32.92,918.06
2021-06-11,21.50,17.70,40.75,918.22
2021-06-12,20.80,8.30,39.58,919.46
2021-06-13,17.00,10.70,34.17,922.58
2021-06-14,18.00,6.00,30.42,923.07
2021-06-15,19.60,8.90,30.67,920.18
2021-06-16,21.20,15.90,34.75,919.40
2021-06-17,24.00,15.80,31.71,919.09
2021-06-18,24.10,16.50,31.79,918.18
2021-06-19,24.90,17.90,27.62,917.10
2021-06-20,16.80,10.00,55.33,922.95
2021-06-21,20.60,14.80,39.75,920.12
2021-06-22,19.20,15.50,50.58,922.68
2021-06-23,19.00,7.10,44.33,923.47
2021-06-24,21.80,19.70,39.25,918.96
2021-06-25,15.50,8.70,72.38,919.88
2021-06-26,19.10,8.30,48.00,919.86
2021-06-27,21.50,10.50,33.71,922.48
2021-06-28,24.20,8.40,37.25,920.02
2021-06-29,25.70,8.50,33.00,919.57
2021-06-30,26.20,7.50,28.46,919.36
2021-07-01,26.60,9.50,31.00,918.13
2021-07-02,27.60,9.90,30.62,916.02
2021-07-03,28.30,8.50,30.08,915.08
2021-07-04,28.60,19.40,31.25,915.26
2021-07-05,29.00,15.00,30.83,914.35
2021-07-06,28.80,18.80,27.71,915.41
2021-07-07,29.10,10.90,28.29,918.16
2021-07-08,30.10,10.70,24.88,918.03
2021-07-09,31.10,19.50,23.96,915.16
2021-07-10,27.30,17.80,39.75,914.51
2021-07-11,24.10,12.40,50.00,917.01
2021-07-12,24.90,9.80,38.58,917.16
2021-07-13,25.20,16.10,30.46,914.42
2021-07-14,22.60,12.40,51.29,916.69
2021-07-15,23.30,12.00,51.38,917.73
2021-07-16,20.50,10.90,63.67,922.01
2021-07-17,23.00,9.70,52.00,923.57
2021-07-18,24.50,13.60,37.38,918.82
2021-07-19,26.20,10.20,28.71,915.69
2021-07-20,26.90,11.20,26.62,912.40
2021-07-21,27.20,23.00,27.83,912.50
2021-07-22,26.60,10.50,35.04,912.75
2021-07-23,27.10,10.10,29.33,913.23
2021-07-24,29.00,9.10,27.50,916.78
2021-07-25,29.90,8.30,26.46,919.01
2021-07-26,30.80,9.90,23.58,916.97
2021-07-27,28.20,9.80,33.12,916.70
2021-07-28,25.80,11.90,35.21,915.40
2021-07-29,25.30,8.30,32.04,913.95
2021-07-30,21.70,14.50,42.71,919.97
2021-07-31,23.40,12.00,34.92,922.09
2021-08-01,24.60,10.30,30.75,918.34
2021-08-02,25.40,8.90,31.75,917.25
2021-08-03,27.10,16.30,24.46,917.92
2021-08-04,27.70,10.80,24.25,918.08
2021-08-05,27.40,10.10,26.71,918.47
