ds,temp,wind_speed
2021-07-08,30.1,10.7
2021-07-09,31.1,19.5
2021-07-10,27.3,17.8
2021-07-11,24.1,12.4
2021-07-12,24.9,9.8
2021-07-13,25.2,16.1
2021-07-14,22.6,12.4
2021-07-15,23.3,12.0
2021-07-16,20.5,10.9
2021-07-17,23.0,9.7
2021-07-18,24.5,13.6
2021-07-19,26.2,10.2
2021-07-20,26.9,11.2
2021-07-21,27.2,23.0
2021-07-22,26.6,10.5
2021-07-23,27.1,10.1
2021-07-24,29.0,9.1
2021-07-25,29.9,8.3
2021-07-26,30.8,9.9
2021-07-27,28.2,9.8
2021-07-28,25.8,11.9
2021-07-29,25.3,8.3
2021-07-30,21.7,14.5
2021-07-31,23.4,12.0
2021-08-01,24.6,10.3
2021-08-02,25.4,8.9
2021-08-03,27.1,16.3
2021-08-04,27.7,10.8
2021-08-05,27.4,10.1
2021-08-06,26.7,8.5
2021-08-07,26.7,8.9
2021-08-08,27.5,17.7
2021-08-09,27.5,20.9
2021-08-10,24.7,10.7
2021-08-11,25.8,10.1
2021-08-12,27.3,19.6
2021-08-13,22.1,14.6
2021-08-14,19.0,11.4
2021-08-15,16.0,9.8
2021-08-16,16.1,12.9
2021-08-17,18.8,7.3
2021-08-18,21.4,9.2
2021-08-19,22.5,20.5
2021-08-20,23.5,10.2
2021-08-21,22.7,10.0
2021-08-22,23.5,10.4
2021-08-23,25.6,9.7
2021-08-24,25.4,11.9
2021-08-25,24.9,12.4
2021-08-26,25.1,11.2
2021-08-27,25.1,22.8
2021-08-28,24.4,16.6
2021-08-29,24.1,10.8
2021-08-30,24.2,15.0
2021-08-31,24.2,20.9
2021-09-01,22.2,12.4
2021-09-02,22.0,10.9
2021-09-03,20.9,10.6
2021-09-04,22.7,9.8
2021-09-05,24.9,6.8
2021-09-06,27.3,7.7
2021-09-07,27.0,8.2
2021-09-08,26.7,9.4
2021-09-09,22.3,12.7
2021-09-10,15.2,11.0
2021-09-11,18.0,7.7
2021-09-12,18.9,8.0
2021-09-13,19.1,10.4
2021-09-14,19.7,8.0
2021-09-15,21.5,9.0
2021-09-16,22.4,13.2
2021-09-17,22.5,7.8
2021-09-18,24.5,9.4
2021-09-19,24.4,9.6
2021-09-20,16.2,9.8
