date,9,temp,wind_speed,humidity,pressure
2018-04-16,17.0,10.3,9.2,76.71,912.46
2018-04-17,23.0,11.7,9.6,70.21,910.26
2018-04-18,11.0,6.8,20.8,80.0,915.88
2018-04-19,13.0,7.2,7.0,61.5,916.06
2018-04-20,34.0,9.6,14.7,53.92,913.4
2018-04-21,32.0,12.1,7.8,52.83,910.56
2018-04-22,20.0,15.7,10.0,35.12,910.04
2018-04-23,14.0,16.7,11.5,44.79,910.64
2018-04-24,20.0,19.1,23.7,45.33,907.25
2018-04-25,15.0,12.8,10.1,73.17,916.49
2018-04-26,16.0,9.7,8.9,87.04,920.51
2018-04-27,27.0,10.8,7.0,67.71,919.87
2018-04-28,21.0,14.8,7.3,45.12,919.34
2018-04-29,32.0,19.4,13.6,33.46,913.7
2018-04-30,13.0,19.9,16.8,34.83,908.35
2018-05-01,8.0,12.8,20.5,71.67,915.54
2018-05-02,6.0,12.4,7.3,61.67,920.36
2018-05-03,14.0,12.4,9.5,57.21,919.28
2018-05-04,20.0,12.6,7.7,59.54,916.43
2018-05-05,14.0,15.7,15.6,50.75,910.81
2018-05-06,13.0,10.1,15.3,63.96,911.46
2018-05-07,18.0,8.1,11.8,55.04,917.88
2018-05-08,27.0,13.0,7.9,42.25,910.12
2018-05-09,10.0,16.2,10.2,40.08,909.41
2018-05-10,14.0,17.5,10.1,40.0,909.9
2018-05-11,7.0,22.1,12.5,44.88,904.32
2018-05-12,12.0,20.3,18.2,57.54,904.42
2018-05-13,17.0,16.9,10.1,74.62,906.53
2018-05-14,30.0,13.2,10.5,86.5,908.76
2018-05-15,19.0,14.0,7.8,73.0,910.04
2018-05-16,13.0,16.0,9.5,56.5,909.91
2018-05-17,10.0,16.5,13.3,53.38,910.59
2018-05-18,7.0,15.7,17.1,50.58,911.13
2018-05-19,16.0,14.3,7.1,54.83,914.38
2018-05-20,21.0,12.8,9.7,53.38,918.25
2018-05-21,19.0,14.0,7.4,54.0,916.25
2018-05-22,8.0,17.5,9.2,45.08,912.18
2018-05-23,16.0,14.1,26.9,58.46,911.48
2018-05-24,12.0,8.8,9.6,59.21,921.01
2018-05-25,15.0,14.8,11.1,47.75,916.17
2018-05-26,21.0,18.0,9.2,50.79,909.65
2018-05-27,13.0,20.6,11.6,47.25,904.78
2018-05-28,6.0,11.1,15.8,63.96,914.56
2018-05-29,13.0,13.9,10.7,55.12,911.01
2018-05-30,10.0,16.3,20.7,41.71,909.95
2018-05-31,7.0,13.7,17.7,51.79,916.12
2018-06-01,15.0,17.6,7.9,53.38,911.34
2018-06-02,8.0,21.4,16.6,50.96,908.34
2018-06-03,23.0,14.4,14.0,82.12,914.25
2018-06-04,31.0,13.8,7.5,81.38,913.63
2018-06-05,18.0,18.1,5.8,61.71,915.28
2018-06-06,12.0,20.9,7.1,48.29,914.14
2018-06-07,7.0,21.8,13.8,50.75,910.77
2018-06-08,27.0,20.6,12.2,53.04,906.79
2018-06-09,12.0,20.1,11.8,55.29,906.35
2018-06-10,14.0,22.0,8.6,51.04,905.52
2018-06-11,7.0,19.6,17.2,62.71,905.7
2018-06-12,6.0,20.6,9.2,54.42,906.43
2018-06-13,9.0,22.0,13.0,43.96,905.23
2018-06-14,12.0,20.4,16.4,47.42,907.71
2018-06-15,12.0,17.5,15.4,67.29,908.16
2018-06-16,21.0,17.1,8.2,64.79,911.22
2018-06-17,28.0,20.1,9.3,47.46,904.45
2018-06-18,25.0,22.3,10.6,38.67,903.12
2018-06-19,27.0,23.1,16.2,39.92,904.8
2018-06-20,15.0,21.2,18.2,46.92,908.06
2018-06-21,7.0,21.1,10.5,44.83,911.07
2018-06-22,7.0,21.8,13.0,37.62,907.88
2018-06-23,12.0,23.8,24.6,31.75,905.6
2018-06-24,8.0,21.8,20.1,46.12,905.75
2018-06-25,5.0,20.5,15.1,45.58,908.42
2018-06-26,8.0,19.6,13.4,47.5,908.03
2018-06-27,12.0,21.1,12.4,44.54,906.71
2018-06-28,20.0,22.3,11.3,49.58,906.31
2018-06-29,18.0,23.0,9.7,42.42,906.69
2018-06-30,13.0,24.2,15.5,39.5,907.28
2018-07-01,11.0,24.9,14.2,35.88,906.28
2018-07-02,8.0,23.8,20.9,38.25,905.59
2018-07-03,7.0,19.3,16.2,62.96,907.9
2018-07-04,22.0,19.9,7.3,59.0,908.98
2018-07-05,21.0,21.4,6.6,48.5,908.94
2018-07-06,17.0,22.6,7.4,46.46,908.64
2018-07-07,21.0,24.6,8.7,40.96,906.6
2018-07-08,13.0,26.7,13.3,34.25,906.61
2018-07-09,6.0,27.1,10.2,29.88,905.35
2018-07-10,15.0,28.5,14.3,27.04,905.28
2018-07-11,11.0,27.1,14.1,33.0,905.28
2018-07-12,6.0,24.7,13.3,41.75,905.85
2018-07-13,10.0,24.4,17.3,36.33,904.27
2018-07-14,13.0,25.4,19.4,36.67,904.08
2018-07-15,9.0,25.3,10.0,41.67,902.95
2018-07-16,9.0,25.7,18.2,39.29,901.83
2018-07-17,9.0,23.8,17.3,50.12,903.75
2018-07-18,18.0,24.2,7.1,43.79,907.45
2018-07-19,20.0,23.5,6.4,35.0,907.35
2018-07-20,30.0,22.9,8.4,38.62,904.92
2018-07-21,25.0,24.8,9.5,37.38,905.36
2018-07-22,22.0,27.4,10.7,31.0,903.05
2018-07-23,14.0,27.8,18.2,31.92,901.21
2018-07-24,14.0,20.1,19.1,56.96,905.58
2018-07-25,19.0,19.0,8.7,42.71,908.32
2018-07-26,16.0,19.7,10.4,42.54,909.53
2018-07-27,11.0,21.5,10.1,37.12,909.01
2018-07-28,19.0,22.6,11.2,33.25,907.67
2018-07-29,17.0,21.9,13.3,38.08,908.64
2018-07-30,13.0,22.5,7.4,35.96,908.31
2018-07-31,11.0,23.6,10.8,34.46,905.82
2018-08-01,17.0,24.1,13.5,30.46,903.86
2018-08-02,15.0,24.8,18.5,30.88,905.4
2018-08-03,15.0,23.0,7.9,40.54,908.77
2018-08-04,17.0,25.3,12.0,33.08,908.75
2018-08-05,13.0,26.4,7.9,31.38,910.35
2018-08-06,15.0,27.3,8.9,36.21,907.48
2018-08-07,17.0,27.7,19.1,34.12,905.97
2018-08-08,10.0,27.7,12.3,33.58,907.5
2018-08-09,12.0,28.1,17.6,30.38,908.16
2018-08-10,13.0,28.4,11.3,28.08,908.35
2018-08-11,20.0,28.2,20.8,30.71,906.42
2018-08-12,20.0,18.6,14.1,76.21,908.86
2018-08-13,17.0,21.5,11.7,44.04,911.44
2018-08-14,30.0,21.8,10.1,48.58,911.07
2018-08-15,25.0,24.8,7.6,44.29,909.42
2018-08-16,15.0,27.6,20.5,32.62,908.83
2018-08-17,14.76923076923077,26.7,10.8,34.25,909.94
2018-08-18,14.538461538461538,23.1,11.9,41.71,906.34
2018-08-19,14.307692307692308,25.1,6.4,30.58,906.05
2018-08-20,14.076923076923077,27.4,15.9,26.25,905.72
2018-08-21,13.846153846153847,19.7,12.8,56.04,913.12
2018-08-22,13.615384615384615,19.1,7.9,55.46,913.57
2018-08-23,13.384615384615385,20.5,7.1,43.12,911.6
2018-08-24,13.153846153846153,22.6,14.8,34.12,908.93
2018-08-25,12.923076923076923,22.8,13.3,30.42,908.12
2018-08-26,12.692307692307692,20.7,8.7,35.54,906.32
2018-08-27,12.461538461538462,20.8,7.5,34.17,910.01
2018-08-28,12.23076923076923,21.5,17.2,33.88,909.65
2018-08-29,12.0,18.4,14.2,43.46,913.25
2018-08-30,14.0,16.3,11.7,50.96,915.06
2018-08-31,15.5,16.6,10.6,47.42,915.45
2018-09-01,17.0,19.1,15.5,40.04,911.85
2018-09-02,21.0,12.4,15.0,64.92,917.12
2018-09-03,25.0,11.1,9.0,43.21,918.12
2018-09-04,25.0,14.2,11.8,31.58,916.34
2018-09-05,20.0,17.1,12.1,38.75,911.53
2018-09-06,18.0,21.1,7.6,36.42,909.99
2018-09-07,27.0,21.8,9.3,34.62,911.1
2018-09-08,19.0,21.0,8.1,26.08,912.23
2018-09-09,24.0,15.4,7.7,44.12,914.78
2018-09-10,27.0,17.2,7.6,51.33,913.64
2018-09-11,23.0,17.0,8.2,44.33,915.0
2018-09-12,20.0,13.6,11.0,42.67,917.36
2018-09-13,25.0,10.9,6.3,34.42,918.83
2018-09-14,25.0,14.3,7.9,34.38,916.55
2018-09-15,25.0,17.1,9.0,34.67,916.08
2018-09-16,25.0,17.6,8.4,33.58,915.58
2018-09-17,25.0,18.7,8.4,24.42,913.81
2018-09-18,25.0,17.1,9.2,32.38,914.66
2018-09-19,25.0,18.7,10.3,31.08,912.31
2018-09-20,25.0,21.3,19.4,30.08,910.65
2018-09-21,25.0,15.6,9.7,55.67,915.53
2018-09-22,25.0,15.5,6.6,53.25,915.95
2018-09-23,25.0,17.2,10.2,51.62,914.35
2018-09-24,25.0,12.8,25.3,72.42,916.42
2018-09-25,25.0,11.9,12.6,49.79,918.58
2018-09-26,25.0,13.2,7.6,53.71,916.23
2018-09-27,25.0,15.6,9.9,48.17,913.95
2018-09-28,25.0,16.7,17.6,43.17,917.57
2018-09-29,25.0,16.9,13.6,34.46,919.22
2018-09-30,25.0,17.4,7.2,30.46,914.89
2018-10-01,25.0,19.2,16.3,32.29,914.32
2018-10-02,25.0,18.0,12.7,32.42,919.08
2018-10-03,25.0,15.3,13.0,35.75,919.95
2018-10-04,25.0,15.2,6.8,39.54,916.35
2018-10-05,25.0,16.6,6.3,35.38,914.02
2018-10-06,25.0,18.5,13.8,28.79,915.12
2018-10-07,25.0,13.8,14.2,51.25,920.64
2018-10-08,25.0,7.1,10.1,72.08,923.86
2018-10-09,25.0,9.1,17.0,64.79,917.95
2018-10-10,25.0,10.0,7.0,62.12,918.72
2018-10-11,25.0,11.8,9.2,52.33,917.61
2018-10-12,25.0,13.6,8.3,43.17,913.06
2018-10-13,25.0,9.7,19.8,50.46,910.52
2018-10-14,25.0,2.9,12.4,59.67,919.17
2018-10-15,38.0,4.0,17.1,60.25,908.52
2018-10-16,24.0,1.4,14.0,72.29,914.93
2018-10-17,13.0,-0.9,8.3,82.79,923.29
2018-10-18,26.0,0.0,6.9,50.42,917.14
2018-10-19,32.0,3.8,7.4,47.79,916.62
2018-10-20,33.0,6.4,7.5,60.25,921.34
2018-10-21,43.0,8.3,8.6,47.25,919.59
2018-10-22,23.0,11.2,7.3,23.17,915.75
2018-10-23,27.0,9.0,10.2,43.62,915.98
2018-10-24,36.0,9.0,10.4,54.58,917.0
2018-10-25,31.0,10.6,9.7,35.38,914.24
2018-10-26,33.0,11.6,8.6,34.0,913.6
2018-10-27,25.0,13.1,9.5,33.92,912.42
2018-10-28,15.0,12.1,12.6,63.0,920.45
2018-10-29,23.0,6.0,11.9,72.92,927.79
2018-10-30,23.0,7.9,12.6,56.92,919.04
2018-10-31,24.5,5.3,7.5,71.29,916.79
2018-11-01,26.0,-1.1,7.8,87.67,924.36
2018-11-02,62.0,-2.1,6.3,63.92,926.65
2018-11-03,39.0,-0.8,7.6,63.71,928.81
2018-11-04,51.0,0.9,7.0,62.42,928.33
2018-11-05,44.0,2.2,8.8,60.25,923.79
2018-11-06,32.0,3.9,8.7,32.21,915.65
2018-11-07,28.0,5.0,7.0,47.33,914.28
2018-11-08,30.0,3.8,9.2,63.5,918.5
2018-11-09,33.0,3.5,10.0,46.75,916.39
2018-11-10,34.0,4.6,10.0,50.67,915.17
2018-11-11,73.0,1.4,7.4,83.38,916.51
2018-11-12,29.0,-8.9,11.3,88.62,924.06
2018-11-13,51.0,-14.4,14.4,72.5,925.37
2018-11-14,84.0,-12.5,14.9,66.25,921.4
2018-11-15,122.0,-12.2,13.7,61.0,924.04
2018-11-16,154.0,-10.2,12.9,60.12,926.66
2018-11-17,59.0,-6.5,12.5,48.79,916.71
2018-11-18,47.0,-1.2,7.9,24.54,916.01
2018-11-19,157.0,-3.5,13.2,50.04,918.68
2018-11-20,52.0,-2.7,15.0,58.08,914.76
2018-11-21,37.0,-0.4,12.7,84.79,914.87
2018-11-22,28.0,1.4,15.7,66.46,906.01
2018-11-23,44.0,2.5,16.0,78.04,912.58
2018-11-24,25.0,2.0,22.2,71.88,910.7
2018-11-25,47.5,-7.4,16.3,74.17,926.74
2018-11-26,70.0,-3.8,19.4,56.62,912.02
2018-11-27,33.0,2.3,9.9,70.96,910.83
2018-11-28,24.0,1.9,10.5,93.79,918.41
2018-11-29,19.0,4.3,10.1,63.38,918.68
2018-11-30,11.0,3.9,20.2,48.88,915.83
2018-12-01,26.0,-9.1,9.6,70.42,929.75
2018-12-02,57.0,-8.3,12.4,61.17,924.21
2018-12-03,76.0,-9.4,17.8,69.38,918.11
2018-12-04,98.0,-6.0,13.6,46.67,922.15
2018-12-05,121.0,-8.9,14.7,61.88,918.78
2018-12-06,125.0,-6.5,14.1,55.21,914.18
2018-12-07,120.0,-5.2,14.6,53.21,910.82
2018-12-08,66.0,-2.3,14.6,47.71,908.45
2018-12-09,111.0,2.4,8.4,57.62,911.12
2018-12-10,66.0,2.2,6.0,45.12,914.3
2018-12-11,49.0,0.9,4.1,77.29,917.15
2018-12-12,107.0,-0.2,6.6,81.62,918.16
2018-12-13,83.0,-0.6,6.9,85.25,919.03
2018-12-14,36.0,0.4,7.1,51.38,918.95
2018-12-15,22.0,2.4,6.4,23.58,917.95
2018-12-16,24.0,1.8,22.2,53.88,919.83
2018-12-17,61.0,-1.6,10.7,85.96,919.5
2018-12-18,46.0,-2.3,13.4,83.0,915.25
2018-12-19,86.0,-6.3,10.7,84.5,917.05
2018-12-20,66.0,-5.0,6.0,87.71,925.43
2018-12-21,72.0,-9.3,12.8,85.58,924.71
